Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-June-2023,974.95,989.90,974.95,987.80,983.659307809046556869,196362,9103,193153309.00,87287,44.45,14.95,12.85
28-June-2023,976.05,984.00,967.05,978.30,976.319359418909866145,237347,9648,231726471.00,73131,30.81,16.95,2.25
27-June-2023,966.05,975.70,961.00,973.45,968.680994874246407988,75306,3166,72947491.00,24679,32.77,14.70,7.40
26-June-2023,957.05,963.45,953.10,959.80,958.581006625928417075,69877,1807,66982765.00,29965,42.88,10.35,2.75
23-June-2023,961.00,965.60,955.00,958.30,959.021274547554871005,103880,10145,99623130.00,30110,28.99,10.60,-2.70
22-June-2023,963.70,973.00,958.80,965.05,966.665816414463479369,87033,3300,84131826.00,23305,26.78,14.20,1.35
21-June-2023,977.00,977.25,963.25,965.85,967.234695728158541209,60653,2360,58665686.00,29578,48.77,14.00,-11.15
20-June-2023,965.80,976.85,958.75,974.45,966.355527967178452615,103103,7574,99634154.00,56522,54.82,18.10,8.65
19-June-2023,982.25,986.00,961.20,965.75,969.319539732444025813,78563,3839,76152651.00,26255,33.42,24.80,-16.50
16-June-2023,982.00,985.20,977.50,980.90,981.188979850602276799,108837,4947,106789665.00,55344,50.85,7.70,-1.10
15-June-2023,985.00,988.15,972.00,977.25,977.653657873266249660,169142,5811,165362295.00,77037,45.55,16.15,-7.75
14-June-2023,986.40,988.30,976.00,977.75,981.243405190627185989,563246,5600,552681423.00,495064,87.89,12.30,-8.65
13-June-2023,973.45,989.50,973.45,986.40,986.110773242822234277,200933,6415,198142196.00,129273,64.34,16.05,12.95
12-June-2023,974.45,977.95,968.85,974.25,974.477751649296818527,109289,6846,106499699.00,63950,58.51,9.10,-0.20
9-June-2023,965.65,981.70,963.20,974.45,974.849396483058636112,146889,6181,143194653.00,77257,52.60,18.50,8.80
8-June-2023,972.00,973.30,960.30,962.45,967.663522281552804897,81839,3187,79192615.00,29986,36.64,13.00,-9.55
7-June-2023,972.00,981.25,968.10,976.40,976.543564529413232835,240402,8061,234763026.00,103627,43.11,13.15,4.40
